,child_mortality,disabled_total_by_age,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,feel uncomfortable while living,size of living space,population,gross_regional_product,regional_production,retail_turnover_per_capita,newborn_monthly,crimes,morbidity_age_disease,drug+alco,cluster
Тульская область,79.83333333333333,1777687.0,10.15,22.53333333333333,27441.833333333332,39.925,3.6000000000000005,56.474999999999994,13.5,16.6,1492705.5,413251.4000000001,1271810394.4083333,188458.33333333334,13154.328333333333,934.4,351557.65,82.25,3
Чувашская Республика — Чувашия,45.666666666666664,941871.75,17.85,22.516666666666666,18919.666666666668,32.9,5.699999999999999,61.425,20.0,14.2,1230482.0,249550.5166666667,377054094.02833337,123178.33333333333,13919.831666666667,1169.8000000000002,406231.2,90.14999999999999,0
Самарская область,166.66666666666666,2560659.75,12.966666666666669,22.150000000000002,28243.0,39.625,5.875,54.49999999999999,16.7,16.9,3196402.3333333335,469756.8833333333,2524806119.09,199199.5,34423.325000000004,2698.5999999999995,450185.75,68.4,2
Новгородская область,31.5,714218.75,13.933333333333332,22.150000000000002,25706.0,33.324999999999996,7.25,59.4,12.5,17.6,608366.1666666666,428290.36666666664,368309900.0016666,188459.83333333334,6128.494999999999,1004.6000000000001,406162.24999999994,92.0,3
Владимирская область,78.16666666666667,1514510.75,13.450000000000001,22.150000000000002,23908.333333333332,38.324999999999996,6.625,55.050000000000004,15.8,16.1,1382489.6666666667,342093.76666666666,838294640.64,158931.5,13212.833333333334,1295.6,451260.79999999993,85.475,1
Республика Калмыкия,17.0,257615.75,25.049999999999997,21.75,17105.666666666668,27.025,1.95,46.025000000000006,18.0,20.2,276049.1666666667,285295.48333333334,8242012.901666667,74942.83333333333,3163.1666666666665,128.39999999999998,356796.60000000003,44.95,0
Приморский край,131.5,1295707.75,14.633333333333333,21.7,33902.0,41.55,5.55,52.89999999999999,17.9,15.7,1916175.8333333333,490275.3333333333,555345808.3783333,205863.83333333334,20910.83166666667,1779.6000000000001,380286.30000000005,116.8,1
Челябинская область,227.83333333333334,2656390.5,13.149999999999999,21.683333333333334,24744.833333333332,42.225,3.25,54.550000000000004,16.5,16.0,3489245.1666666665,413443.53333333327,2728132944.12,151515.33333333334,40201.98166666666,5186.599999999999,394159.75,104.89999999999998,2
Кемеровская область — Кузбасс,182.0,2654220.25,14.516666666666666,21.55,23141.666666666668,42.025000000000006,5.025,52.97500000000001,11.5,16.3,2696408.0,388300.0,2615435653.7099996,137812.33333333334,28055.489999999994,2984.6,367610.44999999995,65.69999999999999,2
Пермский край,164.33333333333334,2464520.0,14.200000000000001,21.516666666666666,29534.333333333332,40.525,5.175,54.275000000000006,12.3,16.0,2622786.6666666665,495504.4166666667,2497801431.313333,198659.66666666666,31645.65166666666,3232.2,426614.75,123.69999999999999,2
Мурманская область,38.333333333333336,343491.0,11.1,21.46666666666667,40922.5,40.349999999999994,3.8249999999999997,55.75,12.7,17.7,754848.6666666666,728190.3833333333,848827133.1749998,221724.66666666666,7674.998333333333,617.8,431118.2,81.14999999999999,3
Новосибирская область,188.0,2174375.0,15.050000000000002,21.450000000000003,28499.333333333332,36.325,7.025,56.6,16.9,16.3,2778169.5,439803.0833333333,1076757057.3016667,176971.83333333334,33912.81333333333,3260.4,373439.05000000005,57.7,2
Республика Северная Осетия — Алания,56.333333333333336,777092.5,14.100000000000001,21.416666666666668,23077.5,34.7,9.4,55.925000000000004,18.5,16.4,701688.6666666666,225585.8833333333,52358609.083333336,158091.0,9185.833333333334,302.4,311092.25,51.55,0
Псковская область,36.166666666666664,581149.75,17.51666666666667,21.316666666666666,23780.166666666668,34.95,7.075,57.925000000000004,14.8,15.0,638659.6666666666,273346.43333333335,205837680.34,174759.83333333334,6103.163333333333,923.8,342191.75,102.94999999999999,0
Курская область,56.0,1431220.0,10.15,21.26666666666667,27167.833333333332,38.099999999999994,7.025,54.875,13.3,17.1,1114429.3333333333,390518.3666666667,559707067.8416667,185318.33333333334,10817.5,1035.1999999999998,269122.45,80.55,3
Нижегородская область,195.83333333333334,3486014.5,9.683333333333334,21.250000000000004,31542.666666666668,35.6,7.5,56.925,16.5,17.5,3238417.3333333335,438238.33333333343,2429521341.376667,219424.0,33613.316666666666,2746.4,442766.2,67.35,2
Краснодарский край,297.3333333333333,5018574.0,10.883333333333333,21.23333333333333,34074.5,40.875,8.025,51.099999999999994,17.9,18.1,5577532.5,425405.68333333335,1863488813.9616668,239007.16666666666,66508.49166666665,3639.6000000000004,291212.7,24.1,2
Свердловская область,266.5,3284030.25,9.55,21.15,36207.333333333336,42.825,4.7,52.425,15.2,15.8,4323075.833333333,527703.1833333333,3765196294.8116665,255170.33333333334,52701.15333333334,5023.4,319583.14999999997,78.45,2
Хабаровский край,86.0,796417.0,12.666666666666666,21.083333333333332,38567.666666666664,37.525,8.025,54.475,15.5,15.4,1328594.8333333333,552765.4333333333,702677665.2583333,239569.16666666666,16064.666666666666,1594.8,335380.1,148.55,1
Пензенская область,56.166666666666664,1158136.75,13.916666666666666,20.983333333333334,22056.0,37.3,9.5,53.25,12.7,16.9,1333528.0,305655.0833333333,401093429.6783333,153903.5,11940.998333333331,791.2,367918.85,129.875,3
Ярославская область,61.666666666666664,1252832.5,10.483333333333333,20.933333333333334,27634.666666666668,36.325,5.275,58.425,20.5,15.8,1265493.6666666667,433756.60000000003,706072813.2566665,181797.66666666666,13062.663333333332,1120.0,418454.0,81.275,1
Карачаево-Черкесская Республика,38.0,606023.0,23.183333333333334,20.85,18200.166666666668,34.925000000000004,9.2,55.875,23.2,18.3,466780.8333333333,179795.13333333333,70180486.93333334,80546.66666666667,5287.991666666666,395.59999999999997,239829.6,32.300000000000004,0
Республика Бурятия,90.83333333333333,889260.75,19.383333333333336,20.8,24480.333333333332,43.5,4.95,51.574999999999996,17.6,17.2,983105.6666666666,253376.36666666667,224288943.73333335,180334.0,14411.665,1483.6000000000001,234478.6,52.225,0
Архангельская область,62.5,1035945.0,14.033333333333333,20.75,31840.0,34.0,7.45,58.55,14.5,16.9,1115958.0,452147.76666666666,1522675532.9433334,222460.66666666666,11362.331666666665,1767.4,509638.6,67.3,1
Республика Марий Эл,44.333333333333336,756954.75,21.0,20.716666666666665,19778.333333333332,35.425,4.95,59.65,13.2,16.5,683352.3333333334,272314.7166666667,278503509.135,123550.5,8069.161666666667,514.0,401108.94999999995,85.14999999999999,0
