,child_mortality,disabled_total_by_age,morbidity_age_disease_17,morbidity_age_disease_18,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,do not feel constrained when living,feel uncomfortable while living,experience great discomfort while living,did not answer,total area size,size of living space,number of rooms,population,gross_regional_product,regional_production,retail_turnover_per_capita,minors,group of people,criminal community,drug,alco,newborn_monthly
Республика Коми,42.666666666666664,751530.5,423679.80000000005,70035.6,15.516666666666667,20.533333333333335,33560.5,38.15,7.275,54.599999999999994,80.5,14.2,5.3,0.0,21.9,15.5,2.3,843898.3333333334,744506.9166666666,971641471.4883333,184454.0,506.2,535.2,27.0,12.225000000000001,99.8,9487.498333333333
Ненецкий автономный округ,2.6666666666666665,34975.0,518032.05000000005,83003.0,9.766666666666666,14.983333333333334,76707.66666666667,48.05,2.625,49.300000000000004,81.0,18.6,0.4,0.0,31.5,20.9,2.7,43847.5,6208847.116666666,512902932.0,213647.0,37.6,39.2,0.0,1.7249999999999999,136.425,673.0
Архангельская область,62.5,1035945.0,441127.35,68511.25,14.033333333333333,20.75,31840.0,34.0,7.45,58.55,83.3,14.5,2.2,0.0,24.6,16.9,2.4,1115958.0,452147.76666666666,1522675532.9433334,222460.66666666666,633.4,1117.4,16.6,7.3,60.0,11362.331666666665
Вологодская область,79.33333333333333,1174393.25,390342.5,53080.5,13.566666666666668,24.53333333333333,27058.5,39.325,5.575000000000001,55.074999999999996,87.5,9.6,2.9,0.0,22.9,16.9,2.2,1177900.3333333333,483895.9333333334,1148787540.3966665,154399.83333333334,665.2,1023.0,9.0,5.199999999999999,58.77499999999999,13317.664999999999
Калининградская область,53.0,842079.75,301819.5,59324.45,13.683333333333332,9.883333333333335,27261.166666666668,34.15,9.4,56.425,80.7,13.4,5.9,0.0,23.1,15.6,2.3,990157.0,462620.1833333333,980998362.9366668,165231.0,393.4,387.6,1.6,5.7749999999999995,82.32499999999999,10743.494999999999
Ленинградская область,62.166666666666664,1662631.0,283192.1,45946.649999999994,9.15,16.116666666666667,30088.166666666668,12.625,5.85,31.549999999999997,79.8,15.7,4.5,0.0,24.7,17.0,2.1,1813978.0,585691.5166666667,1967330076.3316667,214254.66666666666,385.4,810.2,8.2,9.125,38.45,14699.666666666666
Мурманская область,38.333333333333336,343491.0,380959.05,50159.15,11.1,21.46666666666667,40922.5,40.349999999999994,3.8249999999999997,55.75,83.6,12.7,3.7,0.0,23.9,17.7,2.2,754848.6666666666,728190.3833333333,848827133.1749998,221724.66666666666,330.6,286.2,1.0,9.675,71.475,7674.998333333333
Новгородская область,31.5,714218.75,339634.94999999995,66527.29999999999,13.933333333333332,22.150000000000002,25706.0,33.324999999999996,7.25,59.4,86.3,12.5,1.2,0.0,25.6,17.6,2.3,608366.1666666666,428290.36666666664,368309900.0016666,188459.83333333334,367.8,612.6,24.2,10.950000000000001,81.05,6128.494999999999
Псковская область,36.166666666666664,581149.75,296934.15,45257.6,17.51666666666667,21.316666666666666,23780.166666666668,34.95,7.075,57.925000000000004,79.2,14.8,6.0,0.0,23.0,15.0,2.1,638659.6666666666,273346.43333333335,205837680.34,174759.83333333334,260.0,563.4,100.4,6.75,96.19999999999999,6103.163333333333
г. Санкт-Петербург,247.83333333333334,7051476.5,402231.35,72330.65,7.1499999999999995,15.733333333333333,43499.0,13.075,2.45,34.5,82.0,14.2,3.7,0.1,25.1,15.7,2.1,5305474.666666667,841584.6,4562183992.12,254799.66666666666,558.8,1401.4,60.4,9.950000000000001,18.85,64764.659999999996
Республика Адыгея (Адыгея),25.333333333333332,402977.25,214172.65000000002,56795.850000000006,13.033333333333331,19.583333333333332,26924.666666666668,40.075,9.6,50.35,67.2,27.4,5.4,0.0,27.0,19.6,3.1,454204.1666666667,252367.95000000004,94795842.88333333,198746.16666666666,99.8,186.0,3.2,5.0,57.0,4829.83
Республика Калмыкия,17.0,257615.75,313599.9,43196.7,25.049999999999997,21.75,17105.666666666668,27.025,1.95,46.025000000000006,79.3,18.0,2.7,0.0,30.7,20.2,3.1,276049.1666666667,285295.48333333334,8242012.901666667,74942.83333333333,58.8,69.4,0.2,0.35,44.6,3163.1666666666665
Республика Крым,109.0,1486588.0,207546.65,37679.25,19.583333333333336,13.066666666666668,20024.166666666668,43.875,5.25,50.87499999999999,84.2,10.9,4.9,0.0,27.5,19.0,2.6,1908893.3333333333,212584.91666666672,238127300.81000003,128982.83333333333,446.2,823.0,10.6,14.7,55.45,21051.5
Краснодарский край,297.3333333333333,5018574.0,237806.8,53405.9,10.883333333333333,21.23333333333333,34074.5,40.875,8.025,51.099999999999994,78.4,17.9,3.7,0.0,26.9,18.1,2.8,5577532.5,425405.68333333335,1863488813.9616668,239007.16666666666,1052.2,2574.6,12.8,4.05,20.05,66508.49166666665
Астраханская область,80.33333333333333,525728.5,234717.1,47842.7,15.333333333333334,25.099999999999998,23899.5,40.175,4.9,54.9,77.5,19.4,3.1,0.0,24.9,19.2,2.3,1016023.3333333334,467658.11666666664,595978983.0466666,170557.16666666666,340.8,746.2,11.6,0.44999999999999996,24.2,12530.331666666667
Волгоградская область,128.66666666666666,2102042.0,257154.55,45924.8,13.4,23.783333333333335,22899.0,39.425,6.225,54.3,82.7,13.9,3.3,0.0,25.6,17.9,2.5,2526392.8333333335,349898.0,1528929509.5083332,151094.83333333334,824.2,1435.4,8.6,8.0,57.2,24543.986666666664
